,date,day,hour,latitude,longitude,minute,month,target,year
0,1.0,3.0,8.0,39.127957,-84.605776,10.0,2.0,0.0,2018.0
1,1.0,3.0,8.0,39.129159,-84.61036999999997,8.0,2.0,0.0,2018.0
2,1.0,3.0,8.0,39.127929,-84.608513,9.0,2.0,0.0,2018.0
3,1.0,3.0,8.0,39.129159,-84.61036999999997,8.0,2.0,0.0,2018.0
4,1.0,3.0,8.0,39.128085,-84.610098,9.0,2.0,0.0,2018.0
5,1.0,3.0,8.0,39.128138,-84.610097,9.0,2.0,0.0,2018.0
6,1.0,3.0,8.0,39.12784600000001,-84.606176,10.0,2.0,0.0,2018.0
7,1.0,3.0,8.0,39.129159,-84.61036999999997,8.0,2.0,0.0,2018.0
8,1.0,3.0,8.0,39.129159,-84.61036999999997,7.0,2.0,0.0,2018.0
9,1.0,3.0,8.0,39.127947,-84.60889399999998,9.0,2.0,1.0,2018.0
10,1.0,3.0,8.0,39.129159,-84.61036999999997,8.0,2.0,0.0,2018.0
11,1.0,3.0,8.0,39.129159,-84.61036999999997,7.0,2.0,1.0,2018.0
12,1.0,3.0,8.0,39.129006,-84.61009,9.0,2.0,1.0,2018.0
13,1.0,3.0,8.0,39.127836,-84.606078,10.0,2.0,1.0,2018.0
14,1.0,3.0,8.0,39.128579,-84.610038,9.0,2.0,1.0,2018.0
15,1.0,3.0,8.0,39.129159,-84.61036999999997,8.0,2.0,1.0,2018.0
16,1.0,3.0,8.0,39.129159,-84.61036999999997,8.0,2.0,1.0,2018.0
17,1.0,3.0,8.0,39.129159,-84.61036999999997,8.0,2.0,1.0,2018.0
18,1.0,3.0,8.0,39.129159,-84.61036999999997,9.0,2.0,1.0,2018.0
19,1.0,3.0,8.0,39.129159,-84.61036999999997,8.0,2.0,1.0,2018.0
20,1.0,3.0,8.0,39.129159,-84.61036999999997,8.0,2.0,1.0,2018.0
21,1.0,3.0,8.0,39.129073,-84.610238,9.0,2.0,1.0,2018.0
22,1.0,3.0,8.0,39.129159,-84.61036999999997,9.0,2.0,1.0,2018.0
23,1.0,3.0,8.0,39.128037,-84.610045,9.0,2.0,1.0,2018.0
24,1.0,3.0,8.0,39.130376,-84.60778499999998,11.0,2.0,0.0,2018.0
25,1.0,3.0,8.0,39.128639,-84.60593100000001,10.0,2.0,1.0,2018.0
26,1.0,3.0,8.0,39.129159,-84.61036999999997,7.0,2.0,1.0,2018.0
27,1.0,3.0,8.0,39.127832,-84.60601,10.0,2.0,1.0,2018.0
28,1.0,3.0,8.0,39.127849,-84.60637,10.0,2.0,1.0,2018.0
29,1.0,3.0,8.0,39.129159,-84.61036999999997,8.0,2.0,1.0,2018.0
30,1.0,3.0,8.0,39.127856,-84.60719,10.0,2.0,1.0,2018.0
31,1.0,3.0,8.0,39.128922,-84.606034,10.0,2.0,1.0,2018.0
32,1.0,3.0,8.0,39.129159,-84.61036999999997,8.0,2.0,1.0,2018.0
33,1.0,3.0,8.0,39.127985,-84.609791,9.0,2.0,1.0,2018.0
34,1.0,3.0,8.0,39.129477,-84.606442,10.0,2.0,1.0,2018.0
35,1.0,3.0,8.0,39.12967,-84.60670400000002,10.0,2.0,1.0,2018.0
36,1.0,3.0,8.0,39.128716,-84.610045,9.0,2.0,1.0,2018.0
37,1.0,3.0,8.0,39.129159,-84.61036999999997,8.0,2.0,1.0,2018.0
38,1.0,3.0,8.0,39.129159,-84.61036999999997,7.0,2.0,1.0,2018.0
39,1.0,3.0,8.0,39.129159,-84.61036999999997,9.0,2.0,1.0,2018.0
40,1.0,3.0,8.0,39.127836,-84.606078,10.0,2.0,1.0,2018.0
41,1.0,3.0,8.0,39.127885,-84.607671,10.0,2.0,1.0,2018.0
42,1.0,3.0,8.0,39.129159,-84.61036999999997,8.0,2.0,1.0,2018.0
43,1.0,3.0,8.0,39.137759,-84.614227,14.0,2.0,0.0,2018.0
44,1.0,3.0,8.0,39.140606,-84.605673,23.0,2.0,0.0,2018.0
45,1.0,3.0,8.0,39.132779,-84.6104,11.0,2.0,0.0,2018.0
46,1.0,3.0,8.0,39.137759,-84.614227,19.0,2.0,0.0,2018.0
47,1.0,3.0,8.0,39.140333,-84.600637,24.0,2.0,0.0,2018.0
48,1.0,3.0,8.0,39.140538,-84.604711,23.0,2.0,0.0,2018.0
49,1.0,3.0,8.0,39.140723,-84.60824000000002,23.0,2.0,0.0,2018.0
50,1.0,3.0,8.0,39.137759,-84.614227,19.0,2.0,0.0,2018.0
51,1.0,3.0,8.0,39.136277,-84.613694,11.0,2.0,0.0,2018.0
52,1.0,3.0,8.0,39.137759,-84.614227,19.0,2.0,0.0,2018.0
53,1.0,3.0,8.0,39.142099,-84.59264,25.0,2.0,0.0,2018.0
54,1.0,3.0,8.0,39.137759,-84.614227,12.0,2.0,0.0,2018.0
