,asset,latitude,longitude,time,SPEED,HEADING,REASONS,DISTANCE_TRAVELED,ODOMETER,LOADTS,STATUS
6689,185,39.127957,-84.605776,2/1/2018 8:10,17.1,NNE,7,22.6,28080.0,2/1/2018 8:10,31
6727,185,39.129159,-84.61036999999999,2/1/2018 8:08,0.0,NNW,12,22.3,28079.7,2/1/2018 8:08,8223
6738,185,39.127928999999995,-84.608513,2/1/2018 8:09,24.7,E,7,22.5,28079.9,2/1/2018 8:09,31
6768,185,39.129159,-84.61036999999999,2/1/2018 8:08,0.0,NNW,"12,9",22.3,28079.7,2/1/2018 8:08,9247
6818,185,39.128085,-84.610098,2/1/2018 8:09,3.4,S,7,22.4,28079.8,2/1/2018 8:09,31
6834,185,39.128138,-84.610097,2/1/2018 8:09,13.8,S,12,22.4,28079.8,2/1/2018 8:09,8223
6887,185,39.127846000000005,-84.606176,2/1/2018 8:10,11.4,E,7,22.6,28080.0,2/1/2018 8:10,31
6926,185,39.129159,-84.61036999999999,2/1/2018 8:08,0.0,NNW,7,22.3,28079.7,2/1/2018 8:08,31
6968,185,39.129159,-84.61036999999999,2/1/2018 8:07,0.0,NNW,7,22.3,28079.7,2/1/2018 8:08,31
6979,185,39.127947,-84.60889399999999,2/1/2018 8:09,24.2,E,12,22.5,28079.8,2/1/2018 8:09,8223
6998,185,39.129159,-84.61036999999999,2/1/2018 8:08,0.0,NNW,7,22.3,28079.7,2/1/2018 8:08,31
7003,185,39.129159,-84.61036999999999,2/1/2018 8:07,0.0,NNW,9,-0.1,28057.3,2/1/2018 8:08,42015
7042,185,39.129006,-84.61009,2/1/2018 8:09,4.5,SEE,7,22.3,28079.7,2/1/2018 8:09,31
7081,185,39.127836,-84.606078,2/1/2018 8:10,0.0,E,"12,9",22.6,28080.0,2/1/2018 8:10,9247
7105,185,39.128578999999995,-84.610038,2/1/2018 8:09,15.7,S,7,22.4,28079.7,2/1/2018 8:09,31
7172,185,39.129159,-84.61036999999999,2/1/2018 8:08,0.0,NNW,"12,9",22.3,28079.7,2/1/2018 8:08,9247
7206,185,39.129159,-84.61036999999999,2/1/2018 8:08,0.0,NNW,7,22.3,28079.7,2/1/2018 8:08,31
7273,185,39.129159,-84.61036999999999,2/1/2018 8:08,0.0,NNW,12,22.3,28079.7,2/1/2018 8:08,40991
7279,185,39.129159,-84.61036999999999,2/1/2018 8:09,0.0,NNW,7,22.3,28079.7,2/1/2018 8:09,31
7284,185,39.129159,-84.61036999999999,2/1/2018 8:08,0.0,NNW,7,22.3,28079.7,2/1/2018 8:08,31
7323,185,39.129159,-84.61036999999999,2/1/2018 8:08,0.0,NNW,7,22.3,28079.7,2/1/2018 8:08,31
7367,185,39.129073,-84.610238,2/1/2018 8:09,3.7,E,"12,10",22.3,28079.7,2/1/2018 8:09,9247
